Classifer,Diffusion Type,Selected Features Count,Accuracy,Precision,Recall,F1-Score,Epochs,Class Counts Before Augmentation,Class Counts After Augmentation,Selected Features,Class Number,class name
BiRNN,SBGM,30,0.936644854,0.788293898,0.79125,0.789769183,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",6,Spoofing
BiRNN,SBGM,30,0.936644854,0.971779141,0.99,0.980804954,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 2, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 29, 43, 45, 48, 50, 57, 58, 70, 73, 78, 80, 82, 83, 84, 85, 86, 87]",7,Web-based
BiRNN,LDM,30,0.935603807,0.984245439,0.989166667,0.986699917,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 81, 82, 83, 84, 85, 86, 87]",0,BenignTraffic
BiRNN,LDM,30,0.935603807,0.764390897,0.788674033,0.776342624,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 81, 82, 83, 84, 85, 86, 87]",1,Brute_Force
BiRNN,LDM,30,0.935603807,0.959235669,0.94125,0.950157729,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 81, 82, 83, 84, 85, 86, 87]",2,DDoS
BiRNN,LDM,30,0.935603807,0.993710692,0.9875,0.990595611,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 81, 82, 83, 84, 85, 86, 87]",3,DoS
BiRNN,LDM,30,0.935603807,0.996226415,0.99,0.993103448,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 81, 82, 83, 84, 85, 86, 87]",4,Mirai
BiRNN,LDM,30,0.935603807,0.989834816,0.97375,0.981726528,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 81, 82, 83, 84, 85, 86, 87]",5,Recon
BiRNN,LDM,30,0.935603807,0.786885246,0.78,0.783427495,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 81, 82, 83, 84, 85, 86, 87]",6,Spoofing
BiRNN,LDM,30,0.935603807,0.974264706,0.99375,0.983910891,2000,"Counter({0: 4800, 6: 3200, 4: 3200, 5: 3200, 3: 3200, 2: 3200, 7: 3200, 1: 2894})","Counter({0: 4800, 6: 4800, 4: 4800, 1: 4800, 5: 4800, 3: 4800, 2: 4800, 7: 4800})","[0, 1, 3, 4, 5, 11, 12, 13, 21, 23, 24, 26, 28, 29, 43, 45, 48, 50, 57, 58, 70, 73, 80, 81, 82, 83, 84, 85, 86, 87]",7,Web-based
